,county,sex,xiang,p004,p005,p006,p008,p009,p012,p014,p015,p016,p017,p035,p036,p037,p044,p045,p046,p047,p048
0,AC,M,1,129.5,56.3,4.8,2.93,9.0,48.2,601.0,314.0,0.32,41.0,256.0,77.5,14.6,83.9,173.0,,79.3,
1,AC,M,2,138.7,58.7,4.4,3.23,8.2,45.6,613.0,205.0,0.0,35.2,281.0,77.7,14.3,63.6,157.0,,61.9,
2,AC,M,3,134.1,57.5,4.6,3.08,8.6,46.9,607.0,260.0,0.16,38.1,269.0,77.6,14.5,73.8,165.0,,70.6,
3,AC,F,1,134.3,57.2,4.7,4.02,10.8,42.6,692.0,300.0,1.25,42.9,303.0,85.8,16.2,70.4,,3.0,,0.0
4,AC,F,2,142.3,55.4,4.6,3.63,9.2,41.5,585.0,299.0,0.25,40.5,288.0,89.0,14.0,68.0,,5.0,,4.3
5,AC,F,3,138.3,56.3,4.7,3.82,10.0,42.1,639.0,300.0,0.75,41.7,296.0,87.4,15.1,69.2,,4.0,,2.1
9,BA,M,1,122.0,61.9,4.8,3.26,5.8,49.9,744.0,229.0,1.05,43.6,276.0,95.5,16.0,70.0,172.0,,70.4,
10,BA,M,2,122.0,63.0,4.7,0.0,4.6,47.3,713.0,182.0,0.0,40.6,303.0,116.2,17.9,68.0,151.0,,76.0,
11,BA,M,3,122.0,62.5,4.8,1.63,5.2,48.6,729.0,206.0,0.53,42.1,290.0,105.9,16.9,69.0,162.0,,73.2,
12,BA,F,1,125.1,64.6,4.7,3.71,7.6,34.7,738.0,171.0,1.21,43.1,306.0,102.3,11.8,72.4,,11.0,,3.4
13,BA,F,2,117.7,61.7,4.4,1.6,7.2,31.9,602.0,155.0,0.95,41.8,270.0,84.5,11.2,75.8,,3.0,,0.0
14,BA,F,3,121.4,63.1,4.6,2.66,7.4,33.3,670.0,163.0,1.08,42.5,288.0,93.4,11.5,74.1,,7.0,,1.7
18,CB,M,1,107.4,58.0,4.5,3.47,5.4,32.6,360.0,173.0,0.0,56.1,254.0,80.2,14.0,90.0,202.0,,83.3,
19,CB,M,2,104.9,52.4,4.7,4.24,5.0,32.8,456.0,287.0,0.0,58.7,246.0,82.2,13.2,75.9,161.0,,64.0,
20,CB,M,3,106.2,55.2,4.6,3.86,5.2,32.7,408.0,230.0,0.0,57.4,250.0,81.2,13.6,83.0,182.0,,73.7,
21,CB,F,1,115.5,55.0,4.7,3.85,6.8,31.3,441.0,214.0,2.36,64.9,308.0,82.9,12.9,86.7,,4.0,,0.0
22,CB,F,2,105.3,52.9,4.4,6.92,12.3,35.9,477.0,173.0,1.25,68.3,309.0,91.4,12.6,93.5,,6.0,,3.3
23,CB,F,3,110.4,54.0,4.6,5.38,9.6,33.6,459.0,194.0,1.8,66.6,309.0,87.2,12.8,90.1,,5.0,,1.6
27,CC,M,1,106.8,50.2,4.3,3.39,6.6,38.8,632.0,282.0,2.58,35.5,234.0,92.1,15.1,56.7,134.0,,57.7,
28,CC,M,2,126.8,62.3,4.7,3.46,6.4,46.2,671.0,276.0,2.36,38.6,263.0,99.6,16.0,53.3,241.0,,72.0,
29,CC,M,3,116.8,56.3,4.5,3.43,6.5,42.5,652.0,279.0,2.47,37.1,249.0,95.8,15.6,55.0,188.0,,64.9,
30,CC,F,1,132.3,65.2,4.5,3.89,9.8,46.3,881.0,317.0,3.56,50.8,314.0,116.0,14.3,69.0,,4.0,,3.3
31,CC,F,2,131.7,68.9,4.8,3.99,10.4,44.8,758.0,333.0,3.2,47.1,290.0,96.9,12.9,82.8,,29.0,,14.8
32,CC,F,3,132.0,67.1,4.7,3.94,10.1,45.5,820.0,325.0,3.38,49.0,302.0,106.5,13.6,75.9,,17.0,,9.1
36,FA,M,1,120.7,48.4,4.5,4.16,19.3,60.1,621.0,252.0,2.06,96.9,239.0,98.4,18.8,80.0,163.0,,73.1,
37,FA,M,2,125.3,56.8,4.2,3.4,12.1,55.7,790.0,132.0,1.55,71.6,250.0,88.1,19.9,73.3,182.0,,63.6,
38,FA,M,3,123.0,52.6,4.4,3.78,15.7,57.9,706.0,192.0,1.81,84.3,245.0,93.3,19.4,76.7,173.0,,68.3,
39,FA,F,1,127.6,55.2,4.6,4.72,26.1,46.5,661.0,211.0,3.4,101.2,285.0,91.4,15.7,72.4,,109.0,,48.1
40,FA,F,2,125.0,53.2,4.6,4.93,27.1,49.0,770.0,154.0,3.51,75.1,207.0,96.6,15.4,70.0,,128.0,,42.9
41,FA,F,3,126.3,54.2,4.6,4.83,26.6,47.8,716.0,183.0,3.46,88.2,246.0,94.0,15.6,71.2,,119.0,,45.5
45,HA,M,1,139.5,73.0,4.4,0.0,9.7,53.2,754.0,127.0,1.79,27.1,216.0,85.4,17.6,66.7,205.0,,78.3,
46,HA,M,2,119.8,77.7,4.5,1.56,12.4,68.4,846.0,225.0,4.1,29.7,295.0,97.5,17.6,54.8,189.0,,81.8,
47,HA,M,3,129.7,75.4,4.5,0.78,11.1,60.8,800.0,176.0,2.94,28.4,256.0,91.5,17.6,60.8,197.0,,80.0,
48,HA,F,1,131.9,74.9,4.8,2.0,17.4,37.8,763.0,176.0,4.43,30.2,254.0,87.7,12.3,56.7,,13.0,,10.0
49,HA,F,2,129.4,79.2,4.6,3.63,24.1,47.5,851.0,198.0,10.29,36.4,255.0,101.3,12.9,60.7,,8.0,,3.7
50,HA,F,3,130.7,77.1,4.7,2.81,20.8,42.6,807.0,187.0,7.36,33.3,255.0,94.5,12.6,58.7,,11.0,,6.9
54,KB,M,1,134.3,58.4,4.5,0.0,4.3,48.8,793.0,262.0,0.0,29.2,243.0,95.7,17.9,90.0,146.0,,75.9,
55,KB,M,2,136.2,64.4,4.3,0.0,4.7,51.3,593.0,145.0,0.0,33.8,204.0,84.5,16.5,89.7,116.0,,60.0,
56,KB,M,3,135.3,61.4,4.4,0.0,4.5,50.0,693.0,204.0,0.0,31.5,224.0,90.1,17.2,89.9,131.0,,68.0,
57,KB,F,1,116.7,62.8,4.2,0.0,4.6,42.2,757.0,274.0,0.0,34.9,243.0,90.5,14.6,90.0,,32.0,,16.7
58,KB,F,2,134.3,60.7,4.6,2.87,10.2,35.6,615.0,217.0,0.0,38.3,246.0,84.7,12.3,90.0,,7.0,,3.6
59,KB,F,3,125.5,61.8,4.4,1.44,7.4,38.9,686.0,246.0,0.0,36.6,245.0,87.6,13.5,90.0,,20.0,,10.2
63,LC,M,1,129.1,66.2,4.4,0.0,8.1,45.4,439.0,76.0,0.36,27.1,281.0,88.6,15.1,80.0,135.0,,55.6,
64,LC,M,2,109.2,75.8,4.5,1.59,5.7,53.3,631.0,105.0,0.51,14.6,235.0,102.3,15.1,79.3,176.0,,65.4,
65,LC,M,3,119.2,71.0,4.5,0.8,6.9,49.4,535.0,91.0,0.43,20.9,258.0,95.5,15.1,79.7,156.0,,60.5,
66,LC,F,1,119.7,67.1,4.6,1.64,15.9,53.4,678.0,74.0,1.64,27.9,290.0,82.3,13.4,73.3,,11.0,,7.1
67,LC,F,2,124.2,73.2,4.2,1.41,8.2,41.4,614.0,82.0,0.77,22.4,239.0,86.3,12.9,81.5,,6.0,,7.4
68,LC,F,3,122.0,70.2,4.4,1.52,12.1,47.4,646.0,78.0,1.21,25.1,265.0,84.3,13.2,77.4,,9.0,,7.3
72,ND,M,1,142.3,62.3,4.4,4.12,12.8,48.5,665.0,89.0,1.15,45.0,211.0,86.7,14.8,45.2,199.0,,77.3,
73,ND,M,2,147.7,69.5,4.5,3.95,14.4,55.4,676.0,155.0,1.26,52.6,255.0,104.1,14.8,64.5,195.0,,62.5,
74,ND,M,3,145.0,65.9,4.5,4.04,13.6,52.0,671.0,122.0,1.21,48.8,233.0,95.4,14.8,54.9,197.0,,69.9,
75,ND,F,1,127.0,56.3,4.7,5.17,19.0,40.3,662.0,97.0,0.62,50.3,236.0,91.9,12.0,53.6,,47.0,,14.3
76,ND,F,2,135.6,65.7,4.7,4.91,15.6,37.8,579.0,108.0,1.21,38.0,256.0,95.5,14.3,69.0,,36.0,,14.3
77,ND,F,3,131.3,61.0,4.7,5.04,17.3,39.0,621.0,103.0,0.92,44.1,246.0,93.7,13.2,61.3,,42.0,,14.3
81,QA,M,1,147.6,51.0,4.3,0.0,6.6,48.2,586.0,236.0,1.01,46.7,197.0,82.7,14.8,37.9,176.0,,92.3,
82,QA,M,2,153.0,53.3,4.4,3.05,7.3,51.6,652.0,191.0,0.0,47.3,240.0,101.4,16.2,63.3,205.0,,91.3,
83,QA,M,3,150.3,52.1,4.4,1.52,7.0,49.9,619.0,214.0,0.51,47.0,219.0,92.1,15.5,50.6,191.0,,91.8,
84,QA,F,1,118.1,48.4,4.3,4.11,12.9,37.7,645.0,243.0,1.46,52.3,208.0,83.2,12.3,61.3,,25.0,,12.9
85,QA,F,2,135.0,55.7,4.5,3.7,11.6,39.8,688.0,254.0,1.98,57.0,262.0,92.4,15.7,62.1,,4.0,,0.0
86,QA,F,3,126.5,52.1,4.4,3.91,12.3,38.8,667.0,249.0,1.72,54.6,235.0,87.8,14.0,61.7,,15.0,,6.5
90,QC,M,1,129.6,50.7,4.3,1.56,10.8,61.0,605.0,89.0,2.22,43.5,231.0,90.6,14.3,63.3,214.0,,73.3,
91,QC,M,2,125.3,56.1,4.1,1.58,10.6,58.3,625.0,70.0,1.11,55.9,247.0,92.1,16.5,53.3,228.0,,78.3,
92,QC,M,3,127.5,53.4,4.2,1.57,10.7,59.6,615.0,80.0,1.67,49.7,239.0,91.3,15.4,58.3,221.0,,75.8,
93,QC,F,1,126.2,52.3,4.4,3.01,10.5,39.9,598.0,205.0,1.0,47.1,227.0,87.6,12.3,46.7,,4.0,,0.0
94,QC,F,2,127.4,59.1,4.4,3.17,12.9,38.2,554.0,75.0,1.89,49.4,230.0,87.7,12.9,53.1,,4.0,,0.0
95,QC,F,3,126.8,55.7,4.4,3.09,11.7,39.1,576.0,140.0,1.45,48.3,229.0,87.7,12.6,49.9,,4.0,,0.0
99,RA,M,1,136.9,62.0,4.6,3.86,10.4,58.5,531.0,246.0,0.34,58.3,261.0,90.3,13.7,63.3,266.0,,88.2,
100,RA,M,2,132.8,64.9,4.7,0.0,8.6,58.0,474.0,216.0,0.48,41.8,234.0,90.5,12.6,58.1,166.0,,66.7,
101,RA,M,3,134.9,63.5,4.7,1.93,9.5,58.3,503.0,231.0,0.41,50.0,248.0,90.4,13.2,60.7,216.0,,77.5,
102,RA,F,1,124.0,59.9,4.8,3.2,11.9,42.8,472.0,127.0,0.87,54.3,246.0,79.6,14.3,46.7,,6.0,,3.3
103,RA,F,2,125.3,57.2,4.6,3.12,12.3,38.8,454.0,212.0,1.01,52.3,211.0,93.7,13.2,48.3,,6.0,,3.4
104,RA,F,3,124.7,58.6,4.7,3.16,12.1,40.8,463.0,170.0,0.94,53.3,229.0,86.7,13.8,47.5,,6.0,,3.4
108,TD,M,1,116.7,59.4,4.4,4.2,12.8,39.7,527.0,259.0,4.16,49.5,233.0,91.4,16.8,70.0,226.0,,95.8,
109,TD,M,2,119.9,56.8,4.6,4.56,13.7,48.0,585.0,282.0,2.27,78.4,247.0,88.3,14.8,61.1,143.0,,62.5,
110,TD,M,3,118.3,58.1,4.5,4.38,13.3,43.9,556.0,271.0,3.22,64.0,240.0,89.9,15.8,65.5,185.0,,79.2,
111,TD,F,1,129.4,58.3,4.9,5.55,16.5,46.4,632.0,290.0,3.0,82.9,257.0,88.1,12.9,84.0,,73.0,,25.0
112,TD,F,2,132.4,55.6,4.8,4.71,18.3,41.5,673.0,295.0,4.15,61.1,241.0,87.0,12.9,70.8,,36.0,,25.0
113,TD,F,3,130.9,57.0,4.9,5.13,17.4,44.0,653.0,293.0,3.58,72.0,249.0,87.5,12.9,77.4,,55.0,,25.0
