,county,sex,xiang,q005,q006,q007,q008,q010,q012,q013,q014,q019,q020,q022,q023,q024,q025,q027,q030,q043,q044,q045,q049,q050,q051,q052,q053,q054,q055,q056,q057,q058,q059,q060,q061,q062,q063,q064,q065,q066,q067,q068,q069,q089,q090,q091,q092,q093,q094,q095,q096,q097,q098,q099,q100,q101,q102,q103,q104,q105,q106,q107,q108,q109,q110,q111,q112,q113,q114,q115,q116,q117,q118,q119,q120,q121,q122,q123,q128,q129,q130,q131,q132,q133,q134,q135,q136,q137,q138,q139,q140,q141,q142,q143,q144,q145,q147,q166,q167,q170,q171,q172,q173,q174,q175,q176,q177,q178,q179,q180,q181,q182,q184,q185,q186,q187,q188,q189,q190,q191,q192
3,ZA,F,1,61.3,3.2,,,,71.0,3.2,0.0,83.9,,19.4,,,,77.4,93.5,,,,,,,,6.5,35.5,6.5,16.1,58.1,54.8,6.5,100.0,0.0,0.0,0.0,0.0,0.0,12.9,,1.8,,48.3,153.0,56.3,24.1,6.5,0.0,0.0,3.2,9.7,9.7,19.4,3.2,3.2,3.2,3.2,3.2,4.0,6.5,0.0,118.0,74.2,95.9,2.02,2.46,2.35,2.0,2.41,2.37,2.8,0.0,9.7,45.2,12.9,6.5,9.7,3.2,0.0,,0.0,,50.0,,0.0,3.2,0.2,,0.2,0.0,0.19,,0.0,0.0,0.0,0.0,32.3,6.5,62.2,44.0,288.0,309.0,230.6,124.0,64.3,159.5,6.5,29.0,35.5,32.3,45.2,54.8,15.1,28.5,5.4,52.0,22.7,5.1,2.3,3.9
5,ZA,F,3,60.0,1.6,,,,61.4,5.1,0.0,74.7,,18.1,,,,73.2,93.3,,,,,,,,5.0,19.4,3.3,9.8,32.5,70.5,6.7,100.0,0.0,0.0,0.0,0.0,0.0,9.9,,1.7,,49.1,155.0,56.5,23.6,5.0,0.0,0.0,1.6,6.5,4.8,25.2,6.8,3.3,3.3,3.3,1.6,4.0,3.3,0.0,119.0,74.2,96.3,1.94,2.35,2.19,1.98,2.38,2.24,2.5,0.0,10.0,34.7,6.5,5.0,6.5,1.6,0.0,,0.0,,50.0,,0.0,1.6,0.1,,0.1,0.0,0.1,,0.0,0.0,0.0,0.0,31.6,5.0,66.1,39.0,314.0,321.7,269.1,114.2,70.4,162.8,15.3,23.1,31.6,33.4,46.8,63.6,15.3,28.3,5.0,51.0,22.4,4.5,2.3,3.6
8,ZA,T,3,62.0,2.4,5.0,25.1,1.8,50.7,2.5,0.0,85.8,4.0,29.1,3.4,40.4,20.9,81.1,95.0,85.0,100.0,100.0,93.6,100.0,97.6,99.2,5.6,19.9,1.6,10.2,31.7,71.5,8.8,97.7,0.0,0.0,0.0,0.0,0.8,8.0,,,2.4,49.3,161.0,61.0,23.4,11.2,3.1,0.0,2.3,4.8,3.2,27.4,8.9,3.2,14.8,10.9,5.5,7.4,4.7,1.5,119.0,75.0,96.9,2.31,2.81,2.45,2.38,2.87,2.52,3.1,0.1,9.8,33.7,4.0,11.1,3.3,34.4,27.3,,,,,,,34.4,6.7,,,0.0,7.77,,,0.0,0.0,0.0,33.6,11.8,67.5,39.0,301.0,281.9,262.5,119.0,78.4,166.8,16.2,22.5,28.2,34.1,55.4,71.7,,,,,,,,
12,ZB,F,1,62.5,3.1,,,,51.5,9.1,0.0,72.7,,25.0,,,,66.7,93.9,,,,,,,,3.0,27.3,3.0,6.1,30.3,84.8,27.3,100.0,0.0,0.0,0.0,0.0,0.0,9.1,,2.4,,49.1,155.0,58.8,24.5,18.2,24.2,0.0,12.1,9.1,3.0,60.6,0.0,0.0,18.2,12.1,3.0,0.0,0.0,0.0,118.0,76.6,97.1,2.04,2.48,2.48,2.07,2.5,2.51,1.8,0.4,12.1,33.3,0.0,9.1,3.0,3.0,3.0,,3.0,,30.0,,0.0,3.0,0.3,,0.3,0.0,0.35,,0.0,0.0,0.0,0.0,36.4,21.2,55.0,27.0,324.0,320.8,296.6,109.5,81.3,254.0,15.2,27.3,36.4,45.5,63.6,78.8,15.0,29.2,5.1,50.0,22.8,5.0,2.3,3.7
13,ZB,F,2,41.2,2.9,,,,67.6,5.9,0.0,67.6,,20.6,,,,64.7,85.3,,,,,,,,2.9,23.5,2.9,2.9,29.4,44.1,38.2,97.1,0.0,0.0,0.0,0.0,0.0,5.9,,1.8,,49.4,155.0,60.0,24.9,5.9,5.9,0.0,5.9,2.9,2.9,50.0,8.8,2.9,11.8,11.8,8.8,4.0,17.6,5.9,112.0,71.3,91.7,1.81,2.12,2.06,1.82,2.14,2.06,2.8,0.1,11.8,50.0,2.9,17.6,0.0,5.9,5.9,,5.9,,38.5,,0.0,5.9,0.7,,0.7,0.0,0.85,,0.0,0.0,0.0,0.0,55.9,29.4,58.2,41.0,270.0,307.4,316.1,94.1,66.2,144.6,32.4,35.3,47.1,58.8,38.2,79.4,15.0,29.0,5.1,52.0,22.4,4.4,1.9,3.4
14,ZB,F,3,51.9,3.0,,,,59.5,7.5,0.0,70.2,,22.8,,,,65.7,89.6,,,,,,,,3.0,25.4,3.0,4.5,29.9,64.5,32.8,98.5,0.0,0.0,0.0,0.0,0.0,7.5,,2.1,,49.3,155.0,59.4,24.7,12.1,15.1,0.0,9.0,6.0,3.0,55.3,4.4,1.4,15.0,12.0,5.9,2.0,8.8,3.0,115.0,74.0,94.4,1.93,2.3,2.27,1.95,2.32,2.29,2.3,0.3,12.0,41.6,1.4,13.4,1.5,4.5,4.5,,4.5,,34.3,,0.0,4.5,0.5,,0.5,0.0,0.6,,0.0,0.0,0.0,0.0,46.1,25.3,56.6,34.0,297.0,314.1,306.4,101.8,73.8,199.3,23.8,31.3,41.8,52.1,50.9,79.1,15.0,29.1,5.1,51.0,22.6,4.7,2.1,3.6
17,ZB,T,3,52.9,2.2,4.8,22.0,3.0,49.5,6.0,0.0,83.6,10.0,31.6,7.5,36.8,15.0,78.3,92.5,74.5,100.0,99.3,96.3,97.8,99.3,100.0,1.5,21.0,2.2,3.8,25.5,73.9,27.8,99.3,0.0,0.0,0.0,0.0,0.0,8.3,,,3.1,49.3,161.0,63.0,24.4,11.3,16.6,0.0,9.1,6.0,1.5,45.9,3.7,2.3,16.6,11.3,6.0,9.3,5.2,1.5,117.0,76.7,96.9,2.31,2.79,2.59,2.35,2.84,2.65,3.4,0.3,11.3,44.3,1.5,9.7,2.3,31.0,28.0,,,,,,,31.0,5.3,,,0.0,6.11,,,0.8,0.0,0.0,51.1,33.1,52.9,33.0,294.0,309.5,282.0,103.8,75.4,169.0,26.3,35.4,45.1,49.6,61.8,81.2,,,,,,,,
21,ZC,F,1,69.7,0.0,,,,36.4,9.1,0.0,69.7,,27.3,,,,69.7,100.0,,,,,,,,9.1,27.3,15.2,3.0,45.5,63.6,18.2,97.0,0.0,0.0,0.0,0.0,0.0,12.1,,1.9,,49.6,154.0,59.8,25.2,12.1,0.0,0.0,6.1,12.1,3.0,48.5,21.2,12.1,24.2,9.1,12.1,6.8,12.1,6.1,125.0,75.5,100.4,2.01,2.39,2.3,2.01,2.38,2.28,3.8,0.5,15.2,69.7,6.1,21.2,6.1,3.2,3.0,,3.0,,18.0,,3.0,3.0,0.4,,0.4,0.0,0.45,,0.0,0.0,0.0,0.0,33.3,3.0,74.6,26.0,351.0,335.7,155.8,111.8,86.9,222.1,21.2,27.3,33.3,39.4,57.6,63.6,14.9,29.0,5.2,50.0,22.9,5.0,2.1,3.9
23,ZC,F,3,67.7,0.0,,,,32.3,10.8,0.0,58.3,,18.4,,,,59.9,100.0,,,,,,,,6.1,16.8,7.6,3.1,27.4,72.5,16.9,98.5,0.0,0.0,0.0,0.0,0.0,7.6,,1.9,,48.8,155.0,58.9,24.8,7.6,0.0,0.0,4.6,10.8,3.1,41.5,15.3,9.2,18.4,12.3,6.0,6.8,10.8,4.6,125.0,76.9,100.8,1.89,2.24,2.23,1.91,2.26,2.26,4.5,0.6,13.8,59.9,6.2,12.2,6.2,3.2,3.1,,3.1,,16.5,,3.1,3.1,0.7,,0.7,0.0,0.77,,0.0,0.0,0.0,0.0,43.2,4.7,59.4,20.0,317.0,318.3,227.0,92.2,76.2,198.2,23.1,27.7,30.7,43.1,55.4,66.2,15.2,29.3,4.7,50.0,21.9,4.7,2.1,3.6
26,ZC,T,3,68.1,1.5,4.5,16.3,0.8,31.9,7.1,0.0,74.4,10.3,28.5,10.3,35.6,17.8,71.2,98.5,85.8,100.0,99.2,97.6,88.5,96.1,96.9,3.9,17.3,3.8,7.3,27.5,74.9,12.4,96.8,0.0,0.0,0.0,0.0,0.8,10.3,,,1.6,49.2,160.0,61.7,24.2,13.3,4.7,0.0,7.0,7.8,2.4,35.7,13.2,6.2,16.2,13.2,8.4,9.1,8.5,2.3,124.0,78.4,101.3,2.28,2.72,2.54,2.31,2.76,2.59,5.6,0.7,13.2,48.1,3.9,12.5,3.9,30.3,25.4,,,,,,,29.4,4.8,,,0.06,5.54,,,0.0,0.8,0.0,47.7,11.1,61.0,26.0,297.0,285.6,239.5,105.3,77.4,174.7,27.6,27.3,36.9,45.3,61.9,73.6,,,,,,,,
