,county,sex,xiang,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p034,p036,p037,p038,p039,p040,p041,p042,p044,p045,p046,p047,p048,r002,r003,r004,r005,r006,r007,r008,r009,r010,r011,r012,r013,r014,r015,r016,r017,r018,r019,r020,r021,r022,r023,r024,r025,r026,u001,u002,u003,u004,u005,u006,u007,u008,u009,u010,u011,u012,u013,u015,u016,u017,u018,u019,u020,u021,u022,u023,u024,u025,u026,u027,u028,u029,u030
0,ZA,M,1,193.0,44.6,148.4,121.5,79.5,4.5,8.23,2.7,11.5,3.6,4.5,40.6,5.29,415.0,129.0,4.8,23.4,3.6,2.7,8.3,0.0,2.6,3.7,8.8,0.54,34.05,0.096,15.6,2.87,13.6,0.129,0.279,470.0,65.3,15.7,4.0,7.2,2.12,6.57,3.0,82.8,142.0,,53.8,,1.0,48.9,15.6,31.2,4.36,35.6,0.73,0.19,18.7,17.7,0.24,0.94,11.19,0.17,12.0,0.33,0.0,3.1,0.23,1.0,3.13,12.6,0.46,1.6,16.5,3.7,0.82,2.5,0.1,0.44,7.4,0.25,531.0,0.13,5.68,1.24,687.0,753.0,0.04,0.05,4.16,1.0,0.23,0.2,6.12,19.92,0.1,3.16,10.55,21.16,0.04,2.58,0.21,13.02
1,ZA,M,2,191.0,50.8,140.2,127.2,88.2,4.4,8.6,2.83,15.0,4.2,6.9,39.9,4.69,509.0,162.0,7.2,22.3,3.4,2.3,14.6,2.1,4.9,4.7,9.2,0.63,27.0,0.114,15.0,3.73,15.5,0.114,0.265,461.0,101.3,17.7,3.9,7.4,2.01,6.7,10.0,73.3,126.0,,45.8,,1.3,47.9,16.7,28.5,6.86,35.4,0.74,0.23,18.1,16.1,0.35,1.9,11.23,0.2,10.8,0.24,0.22,5.2,0.13,1.28,5.45,10.81,0.36,1.47,15.9,3.7,1.04,3.0,0.12,0.62,7.8,0.51,394.0,0.13,0.0,1.67,707.0,665.0,0.08,0.21,2.78,1.36,1.08,4.06,13.09,8.77,0.1,1.42,17.04,14.4,0.15,2.07,2.57,10.93
2,ZA,M,3,192.0,47.7,144.3,124.4,83.9,4.5,8.42,2.77,13.3,3.9,5.7,40.3,4.99,462.0,146.0,6.0,22.9,3.5,2.5,11.45,1.05,3.75,4.2,9.0,0.59,30.52,0.105,15.3,3.3,14.6,0.122,0.272,466.0,83.3,16.7,4.0,7.3,2.06,6.64,7.0,78.0,134.0,,49.8,,1.15,48.4,16.1,29.9,5.61,35.5,0.73,0.21,18.4,16.9,0.29,1.42,11.21,0.19,11.4,0.29,0.11,4.15,0.18,1.14,4.29,11.71,0.41,1.54,16.2,3.7,0.93,2.8,0.11,0.53,7.6,0.38,463.0,0.13,2.84,1.46,697.0,709.0,0.06,0.13,3.47,1.18,0.66,2.13,9.61,14.35,0.1,2.29,13.79,17.78,0.1,2.33,1.39,11.97
3,ZA,F,1,209.0,46.7,162.3,135.0,87.0,4.3,8.73,6.58,32.7,9.6,8.9,62.1,3.82,960.0,351.0,5.9,53.8,5.3,4.4,20.0,3.2,7.9,5.2,12.8,0.6,30.61,0.117,16.6,3.37,12.9,0.124,0.296,575.0,69.7,15.0,3.7,7.3,1.76,,17.0,82.1,,17.0,,7.4,1.07,47.1,16.0,30.7,6.22,36.9,0.78,0.13,16.5,16.7,0.3,1.52,11.92,0.13,10.9,0.36,0.0,4.54,0.2,1.04,4.98,11.76,0.48,1.5,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ZA,F,2,198.0,55.3,142.7,144.8,75.4,4.5,8.23,4.67,23.6,5.7,7.1,53.0,4.05,589.0,97.0,5.1,44.6,4.2,2.8,5.8,3.3,3.6,3.8,13.2,0.86,29.66,0.113,14.9,3.67,14.4,0.119,0.237,442.0,100.7,17.7,3.5,7.6,1.42,,17.0,75.9,,3.0,,0.0,1.2,50.2,15.1,28.4,6.33,34.7,0.69,0.18,20.6,16.4,0.35,1.38,11.31,0.17,10.8,0.22,0.0,3.9,0.89,1.39,4.04,10.93,0.38,1.43,15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,ZA,F,3,204.0,51.0,152.5,139.9,81.2,4.4,8.48,5.63,28.2,7.65,8.0,57.6,3.94,775.0,224.0,5.5,49.2,4.75,3.6,12.9,3.25,5.75,4.5,13.0,0.73,30.14,0.115,15.8,3.52,13.7,0.121,0.267,509.0,85.2,16.4,3.6,7.5,1.59,,17.0,79.0,,10.0,,3.7,1.14,48.7,15.6,29.6,6.28,35.8,0.73,0.15,18.6,16.6,0.33,1.45,11.62,0.15,10.9,0.29,0.0,4.22,0.55,1.22,4.51,11.35,0.43,1.47,16.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,ZA,T,3,198.0,49.4,148.4,132.1,82.5,4.4,8.45,4.2,20.7,5.78,6.85,48.9,4.46,618.0,185.0,5.75,36.0,4.13,3.05,12.18,2.15,4.75,4.35,11.0,0.66,30.33,0.11,15.5,3.41,14.1,0.122,0.269,487.0,84.3,16.5,3.8,7.4,1.83,,12.0,78.5,,,,,1.14,48.5,15.8,29.7,5.94,35.7,0.73,0.18,18.5,16.7,0.31,1.44,11.41,0.17,11.1,0.29,0.06,4.19,0.36,1.18,4.4,11.53,0.42,1.5,16.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,ZB,M,1,183.0,45.3,137.7,127.7,75.6,4.7,8.63,1.7,12.8,5.8,6.5,41.7,5.28,464.0,140.0,4.7,23.8,9.8,3.5,12.3,0.0,5.2,7.0,8.5,0.96,29.55,0.095,15.9,3.47,12.7,0.113,0.302,495.0,95.7,20.3,3.8,7.9,1.96,7.0,10.0,79.3,146.0,,55.6,,1.1,47.0,16.2,30.1,6.72,36.8,0.78,0.11,17.3,16.0,0.42,1.94,11.29,0.23,10.7,0.29,0.0,4.98,0.0,1.04,5.68,11.88,0.44,1.42,16.3,3.7,1.05,2.7,0.11,0.49,7.7,0.27,655.0,0.17,11.23,1.48,837.0,754.0,0.13,0.47,3.72,1.29,1.61,1.38,12.28,7.16,0.15,2.43,17.74,10.3,0.3,2.51,1.49,9.72
10,ZB,M,2,185.0,47.7,137.3,109.7,89.3,4.7,8.2,3.21,16.4,4.7,6.5,48.2,4.9,533.0,103.0,6.9,19.9,3.2,2.6,1.9,2.3,5.1,3.9,8.5,0.65,29.78,0.111,13.4,3.57,14.5,0.111,0.269,452.0,89.7,17.7,,7.1,1.7,6.22,30.0,80.0,91.0,,36.0,,1.12,,,,,,,,,,,,,,,,,,,,,,,,,2.9,0.83,2.3,0.12,0.38,6.7,0.2,694.0,0.23,3.37,1.07,556.0,516.0,0.08,0.03,4.63,0.77,2.54,0.56,13.81,3.25,0.06,3.86,21.06,4.61,0.05,2.7,1.55,8.53
11,ZB,M,3,184.0,46.5,137.5,118.7,82.5,4.7,8.42,2.46,14.6,5.25,6.5,45.0,5.09,499.0,122.0,5.8,21.9,6.5,3.05,7.1,1.15,5.15,5.45,8.5,0.81,29.67,0.103,14.7,3.52,13.6,0.112,0.286,474.0,92.7,19.0,3.8,7.5,1.83,6.61,20.0,79.7,119.0,,45.8,,1.11,47.0,16.2,30.1,6.72,36.8,0.78,0.11,17.3,16.0,0.42,1.94,11.29,0.23,10.7,0.29,0.0,4.98,0.0,1.04,5.68,11.88,0.44,1.42,16.3,3.3,0.94,2.5,0.12,0.43,7.2,0.24,675.0,0.2,7.3,1.28,697.0,635.0,0.11,0.25,4.17,1.03,2.08,0.97,13.04,5.21,0.1,3.15,19.4,7.46,0.17,2.6,1.52,9.13
